h,p,generacion,fraccion_con_antepasado_homicida,prevalencia
0.0,0.01,0,0.00000000,0.01007500
0.0,0.01,1,0.01978750,0.01002500
0.0,0.01,2,0.05782500,0.00922500
0.0,0.01,3,0.12750000,0.01003750
0.0,0.01,4,0.25463750,0.01055000
0.0,0.01,5,0.45575000,0.01000000
0.0,0.01,6,0.70538750,0.00990000
0.0,0.01,7,0.91162500,0.01008750
0.0,0.01,8,0.99110000,0.00952500
0.0,0.01,9,0.99988750,0.01016250
0.0,0.01,10,1.00000000,0.01047500
0.0,0.01,11,1.00000000,0.01020000
0.0,0.01,12,1.00000000,0.00967500
0.0,0.01,13,1.00000000,0.01011250
0.0,0.01,14,1.00000000,0.00966250
0.0,0.01,15,1.00000000,0.01052500
0.0,0.01,16,1.00000000,0.01047500
0.0,0.01,17,1.00000000,0.01000000
0.0,0.01,18,1.00000000,0.00990000
0.0,0.01,19,1.00000000,0.00952500
0.0,0.01,20,1.00000000,0.00997500
0.0,0.01,21,1.00000000,0.01047500
0.0,0.01,22,1.00000000,0.00967500
0.0,0.01,23,1.00000000,0.01031250
0.0,0.01,24,1.00000000,0.01018750
0.0,0.01,25,1.00000000,0.00988750
0.0,0.01,26,1.00000000,0.01012500
0.0,0.01,27,1.00000000,0.01015000
0.0,0.01,28,1.00000000,0.01017500
0.0,0.01,29,1.00000000,0.01036250
0.3,0.01,0,0.00000000,0.01007500
0.3,0.01,1,0.01978750,0.00961250
0.3,0.01,2,0.05187500,0.00947500
0.3,0.01,3,0.11192500,0.00983750
0.3,0.01,4,0.22247500,0.01038750
0.3,0.01,5,0.40501250,0.01051250
0.3,0.01,6,0.64748750,0.00990000
0.3,0.01,7,0.87261250,0.00976250
0.3,0.01,8,0.98145000,0.00955000
0.3,0.01,9,0.99942500,0.01025000
0.3,0.01,10,1.00000000,0.01042500
0.3,0.01,11,1.00000000,0.01027500
0.3,0.01,12,1.00000000,0.01002500
0.3,0.01,13,1.00000000,0.01005000
0.3,0.01,14,1.00000000,0.00996250
0.3,0.01,15,1.00000000,0.01030000
0.3,0.01,16,1.00000000,0.01015000
0.3,0.01,17,1.00000000,0.01006250
0.3,0.01,18,1.00000000,0.01022500
0.3,0.01,19,1.00000000,0.01001250
0.3,0.01,20,1.00000000,0.00998750
0.3,0.01,21,1.00000000,0.01010000
0.3,0.01,22,1.00000000,0.00983750
0.3,0.01,23,1.00000000,0.00986250
0.3,0.01,24,1.00000000,0.01030000
0.3,0.01,25,1.00000000,0.00995000
0.3,0.01,26,1.00000000,0.01001250
0.3,0.01,27,1.00000000,0.01022500
0.3,0.01,28,1.00000000,0.01017500
0.3,0.01,29,1.00000000,0.01061250
0.6,0.01,0,0.00000000,0.01007500
0.6,0.01,1,0.01978750,0.00956250
0.6,0.01,2,0.04636250,0.00947500
0.6,0.01,3,0.09708750,0.00957500
0.6,0.01,4,0.19076250,0.01015000
0.6,0.01,5,0.35056250,0.01038750
0.6,0.01,6,0.57686250,0.01018750
0.6,0.01,7,0.81641250,0.01001250
0.6,0.01,8,0.96188750,0.00981250
0.6,0.01,9,0.99797500,0.00967500
0.6,0.01,10,1.00000000,0.01035000
0.6,0.01,11,1.00000000,0.01038750
0.6,0.01,12,1.00000000,0.01057500
0.6,0.01,13,1.00000000,0.00980000
0.6,0.01,14,1.00000000,0.01015000
0.6,0.01,15,1.00000000,0.01007500
0.6,0.01,16,1.00000000,0.00976250
0.6,0.01,17,1.00000000,0.00980000
0.6,0.01,18,1.00000000,0.01037500
0.6,0.01,19,1.00000000,0.01030000
0.6,0.01,20,1.00000000,0.01012500
0.6,0.01,21,1.00000000,0.01008750
0.6,0.01,22,1.00000000,0.00966250
0.6,0.01,23,1.00000000,0.00935000
0.6,0.01,24,1.00000000,0.01018750
0.6,0.01,25,1.00000000,0.01033750
0.6,0.01,26,1.00000000,0.01010000
0.6,0.01,27,1.00000000,0.01022500
0.6,0.01,28,1.00000000,0.01000000
0.6,0.01,29,1.00000000,0.01011250
0.9,0.01,0,0.00000000,0.01007500
0.9,0.01,1,0.01978750,0.00978750
0.9,0.01,2,0.04067500,0.01001250
0.9,0.01,3,0.08210000,0.01020000
0.9,0.01,4,0.15937500,0.01061250
0.9,0.01,5,0.29545000,0.01038750
0.9,0.01,6,0.50021250,0.00961250
0.9,0.01,7,0.74307500,0.01005000
0.9,0.01,8,0.92480000,0.00981250
0.9,0.01,9,0.99207500,0.00976250
0.9,0.01,10,0.99987500,0.00980000
0.9,0.01,11,1.00000000,0.01016250
0.9,0.01,12,1.00000000,0.01071250
0.9,0.01,13,1.00000000,0.01047500
0.9,0.01,14,1.00000000,0.00996250
0.9,0.01,15,1.00000000,0.00942500
0.9,0.01,16,1.00000000,0.00947500
0.9,0.01,17,1.00000000,0.00962500
0.9,0.01,18,1.00000000,0.00975000
0.9,0.01,19,1.00000000,0.00968750
0.9,0.01,20,1.00000000,0.00955000
0.9,0.01,21,1.00000000,0.00945000
0.9,0.01,22,1.00000000,0.00975000
0.9,0.01,23,1.00000000,0.00990000
0.9,0.01,24,1.00000000,0.00983750
0.9,0.01,25,1.00000000,0.00976250
0.9,0.01,26,1.00000000,0.00973750
0.9,0.01,27,1.00000000,0.00956250
0.9,0.01,28,1.00000000,0.00975000
0.9,0.01,29,1.00000000,0.00942500
