pool,p,P_desciende_de_homicida
100000,1e-06,0.095162627206
100000,1e-05,0.632122398233
100000,0.0001,0.999954622766
100000,0.001,1.000000000000
100000,0.01,1.000000000000
1000000,1e-06,0.632120742768
1000000,1e-05,0.999954602340
1000000,0.0001,1.000000000000
1000000,0.001,1.000000000000
1000000,0.01,1.000000000000
5000000,1e-06,0.993262069846
5000000,1e-05,1.000000000000
5000000,0.0001,1.000000000000
5000000,0.001,1.000000000000
5000000,0.01,1.000000000000
10000000,1e-06,0.999954600297
10000000,1e-05,1.000000000000
10000000,0.0001,1.000000000000
10000000,0.001,1.000000000000
10000000,0.01,1.000000000000
50000000,1e-06,1.000000000000
50000000,1e-05,1.000000000000
50000000,0.0001,1.000000000000
50000000,0.001,1.000000000000
50000000,0.01,1.000000000000
