N,individuos,p,P_no_homicida
1,3,0.001,9.970030e-01
1,3,0.01,9.702990e-01
1,3,0.05,8.573750e-01
1,3,0.15,6.141250e-01
2,7,0.001,9.930210e-01
2,7,0.01,9.320653e-01
2,7,0.05,6.983373e-01
2,7,0.15,3.205771e-01
5,63,0.001,9.389139e-01
5,63,0.01,5.309055e-01
5,63,0.05,3.949909e-02
5,63,0.15,3.575957e-05
10,2047,0.001,1.289895e-01
10,2047,0.01,1.162100e-09
10,2047,0.05,2.513159e-46
10,2047,0.15,3.315438e-145
15,65535,0.001,3.344036e-29
15,65535,0.01,8.963507e-287
15,65535,0.05,0.000000e+00
15,65535,0.15,0.000000e+00
20,2097151,0.001,0.000000e+00
20,2097151,0.01,0.000000e+00
20,2097151,0.05,0.000000e+00
20,2097151,0.15,0.000000e+00
25,67108863,0.001,0.000000e+00
25,67108863,0.01,0.000000e+00
25,67108863,0.05,0.000000e+00
25,67108863,0.15,0.000000e+00
30,2147483647,0.001,0.000000e+00
30,2147483647,0.01,0.000000e+00
30,2147483647,0.05,0.000000e+00
30,2147483647,0.15,0.000000e+00
